User,PurchaseDay,Store,Product,Size,Price
10000,3,Aldi,7011,L,7.2303216996792825
10000,3,Aldi,7009,M,7.325693333954952
10000,3,Aldi,7008,M,5.435430100761474
10000,3,Aldi,7002,S,0.9819663758798397
10000,3,Aldi,7006,S,2.7286849752748634
10000,3,Aldi,7003,L,7.16716697358796
10000,3,Aldi,7012,S,1.3533413681580186
10000,3,Aldi,7014,M,4.7393153493969065
10000,6,Tesco,7011,S,3.943909077342317
10000,6,Tesco,7009,L,6.262658578847664
10000,6,Tesco,7008,S,3.349010559937473
10000,6,Tesco,7002,M,1.8116865482645867
10000,6,Tesco,7006,L,6.21807613790424
10000,6,Tesco,7003,L,4.809810478446432
10000,6,Tesco,7012,M,2.294186342979305
10000,6,Tesco,7014,S,4.879544866730022
10000,10,Lidl,7011,L,5.471603582563347
10000,10,Lidl,7009,M,4.891300802166317
10000,10,Lidl,7008,M,3.8202624645138026
10000,10,Lidl,7002,L,2.395278803768785
10000,10,Lidl,7006,M,6.97628147977797
10000,10,Lidl,7003,S,2.3314905226796894
10000,10,Lidl,7012,S,1.618651463565983
10000,10,Lidl,7014,M,5.363771792159249
10000,16,Aldi,7011,L,7.2303216996792825
10000,16,Aldi,7009,S,5.318168745667664
10000,16,Aldi,7008,L,7.812834146745529
10000,16,Aldi,7002,L,2.1899173741114
10000,16,Aldi,7006,S,2.7286849752748634
10000,16,Aldi,7003,L,7.16716697358796
10000,16,Aldi,7012,M,1.8689165024072552
10000,16,Aldi,7014,M,4.7393153493969065
10000,19,Lidl,7011,L,5.471603582563347
10000,19,Lidl,7009,S,3.712121983297623
10000,19,Lidl,7008,M,3.8202624645138026
10000,19,Lidl,7002,S,1.3072467192742472
10000,19,Lidl,7006,S,4.261647428274093
10000,19,Lidl,7003,S,2.3314905226796894
10000,19,Lidl,7012,M,3.00113427726535
10000,19,Lidl,7014,L,8.49757348480722
10000,23,Tesco,7011,M,7.053051512567175
10000,23,Tesco,7009,L,6.262658578847664
10000,23,Tesco,7008,S,3.349010559937473
10000,23,Tesco,7002,L,2.4894003634306365
10000,23,Tesco,7006,S,3.5420885689089157
10000,23,Tesco,7003,L,4.809810478446432
10000,23,Tesco,7012,S,1.6519065234425965
10000,23,Tesco,7014,M,4.290190536182516
10000,24,Tesco,7011,S,3.943909077342317
10000,24,Tesco,7009,S,4.0773464374548265
10000,24,Tesco,7008,S,3.349010559937473
10000,24,Tesco,7002,L,2.4894003634306365
10000,24,Tesco,7006,L,6.21807613790424
10000,24,Tesco,7003,L,4.809810478446432
10000,24,Tesco,7012,S,1.6519065234425965
10000,24,Tesco,7014,S,4.879544866730022
10000,28,Aldi,7011,L,7.2303216996792825
10000,28,Aldi,7009,L,6.785998560953302
10000,28,Aldi,7008,M,5.435430100761474
10000,28,Aldi,7002,L,2.1899173741114
10000,28,Aldi,7006,S,2.7286849752748634
10000,28,Aldi,7003,L,7.16716697358796
10000,28,Aldi,7012,M,1.8689165024072552
10000,28,Aldi,7014,M,4.7393153493969065
10000,31,Tesco,7011,M,7.053051512567175
10000,31,Tesco,7009,M,4.9387855325489305
10000,31,Tesco,7008,S,3.349010559937473
10000,31,Tesco,7002,L,2.4894003634306365
10000,31,Tesco,7006,M,6.997883391089376
10000,31,Tesco,7003,L,4.809810478446432
10000,31,Tesco,7012,M,2.294186342979305
10000,31,Tesco,7014,S,4.879544866730022
10000,34,Lidl,7011,S,3.1783729437497126
10000,34,Lidl,7009,M,4.891300802166317
10000,34,Lidl,7008,M,3.8202624645138026
10000,34,Lidl,7002,S,1.3072467192742472
10000,34,Lidl,7006,S,4.261647428274093
10000,34,Lidl,7003,S,2.3314905226796894
10000,34,Lidl,7012,S,1.618651463565983
10000,34,Lidl,7014,S,3.4243034916200714
10000,36,Tesco,7011,S,3.943909077342317
10000,36,Tesco,7009,S,4.0773464374548265
10000,36,Tesco,7008,S,3.349010559937473
10000,36,Tesco,7002,S,1.444837973463918
10000,36,Tesco,7006,L,6.21807613790424
10000,36,Tesco,7003,L,4.809810478446432
